"K-12 Student"
"K-12 Teacher"
"Undergraduate Student"
"Graduate Student"
"Postdoctorate"
"University/College Faculty"
"University/College Staff"
"Industrial User"
"Government User"
"Unaffiliated User"
"Nonprofit User"
"Other"
