"National Science Foundation (NSF)"
"ACS Petroleum Research Fund"
"Dept of Agriculture (USDA)"
"Dept of Commerce (includes NOAA)"
"Dept of Defense (DoD, DARPA, and labs)"
"Dept of Education"
"Dept of Energy (DoE and labs)"
"Dept of Interior"
"Dept of Transportation (US)"
"Environmental Protection Agency (EPA)"
"Foundation"
"Industry"
"International"
"NASA (and centers)"
"National Institutes of Health (any institute)"
"Smithsonian Institution"
"State (any state agency)"
"University"
"Other"
"Not Applicable"
